movieId,title,genres,rating
265339,Ana and Bruno,"16, 12, 10751",7.6
988512,Running on Empty,"10749, 35",6.0
284054,Black Panther,"28, 12, 878",7.381
321612,Beauty and the Beast,"10751, 14, 10749",6.97
324552,John Wick: Chapter 2,"28, 53, 80",7.335
1032823,Trap,"80, 53",6.431
273477,Scouts Guide to the Zombie Apocalypse,"35, 27",6.535
333339,Ready Player One,"12, 28, 878",7.596
259693,The Conjuring 2,27,7.294
1231813,Sister Swapping,"10749, 18",4.5
1311550,House of Ga'a,"28, 36",5.637
11544,Lilo & Stitch,"16, 10751, 35",7.521
12153,White Chicks,"35, 80",6.95
49521,Man of Steel,"28, 12, 878",6.628
296096,Me Before You,"18, 10749",7.9
20352,Despicable Me,"16, 10751, 35",7.246
756999,The Black Phone,"27, 53",7.6
11430,The Lion King 1½,"10751, 16, 35, 28",6.6
2109,Rush Hour,"28, 35, 80",7.052
1153291,Private call,"53, 28",7.0
99861,Avengers: Age of Ultron,"28, 12, 878",7.275
508947,Turning Red,"16, 10751, 35, 14",7.4
87101,Terminator Genisys,"878, 28, 53, 12",5.9
948549,Love Lies Bleeding,"10749, 80, 53",6.6
1372665,The Lost Children,99,7.8
769,GoodFellas,"18, 80",8.5
1139817,Officer Black Belt,"28, 35, 80",7.787
1075794,Leo,"16, 35, 10751",7.467
1249532,Rippy,"27, 9648",4.4
704239,The Union,"28, 35",6.216
1391354,Ronny Chieng: Love to Hate It,35,5.8
791373,Zack Snyder's Justice League,"28, 12, 14",8.137
807,Se7en,"80, 9648, 53",8.375
807,Se7en,"80, 9648, 53",8.375
989730,Mononoke the Movie: The Phantom in the Rain,"16, 14, 9648, 27",7.0
1023922,MaXXXine,"9648, 53, 27",6.406
4348,Pride & Prejudice,"18, 10749",8.072
937287,Challengers,"10749, 18",7.0
755679,Fast X: Part 2,"28, 80, 53",0.0
616037,Thor: Love and Thunder,"14, 28, 35",6.4
991610,Invasion,"28, 18, 53",5.0
8681,Taken,"28, 53",7.395
453395,Doctor Strange in the Multiverse of Madness,"14, 28, 12",7.279
1241752,Rita,18,6.7
4935,Howl's Moving Castle,"14, 16, 12",8.403
37165,The Truman Show,"35, 18",8.1
135397,Jurassic World,"28, 12, 878, 53",6.7
14160,Up,"16, 35, 10751, 12",7.958
901362,Trolls Band Together,"16, 10751, 10402, 14, 35",7.3
1025596,Blood for Dust,"28, 80, 53",5.7
466282,To All the Boys I've Loved Before,"35, 10749",7.611
4011,Beetlejuice,"14, 35",7.379
959092,Mayhem!,"28, 80, 18",6.7
49026,The Dark Knight Rises,"28, 80, 18, 53",7.782
615777,Babylon,"18, 35",7.387
218,The Terminator,"28, 53, 878",7.661
758323,The Pope's Exorcist,"27, 53",6.974
458156,John Wick: Chapter 3 - Parabellum,"28, 53, 80",7.447
614933,Atlas,"878, 28",6.79
353491,The Dark Tower,"14, 28, 878",5.749
102382,The Amazing Spider-Man 2,"28, 12, 878",6.5
35,The Simpsons Movie,"16, 35, 10751",7.011
9806,The Incredibles,"28, 12, 16, 10751",7.71
810,Shrek the Third,"14, 12, 16, 35, 10751",6.3
1062215,Afraid,"27, 878, 53",6.046
323260,The Gigolo,"10749, 18, 35",5.1
284053,Thor: Ragnarok,"28, 12, 878",7.6
260346,Taken 3,"53, 28",6.26
8292,Four Brothers,"28, 80",6.774
766507,Prey,"53, 28, 878",7.712
50620,The Twilight Saga: Breaking Dawn - Part 2,"12, 14, 18, 10749",6.462
1186947,Outlaw,"28, 80, 18",6.0
11688,The Emperor's New Groove,"12, 16, 35, 10751, 14",7.559
1087388,Sting,"27, 878, 53",6.188
508943,Luca,"16, 35, 14, 12, 10751",7.8
